,date_sold,property_type,lot_area_value,address,variable_data,variale_data_2,zestimate,img_src,price,bedrooms,contingent_listing_type,longitude,latitude,listing_status,zpid,rent_zestimate,days_on_zillow,bathrooms,living_area,country,currency,lot_area_unit,has_image
0,1682665200000,SINGLE_FAMILY,0.92,"7525 Matherly Dr, Wake Forest, NC 27587",Sold 04/28/2023,RECENTLY_SOLD,471400.0,https://photos.zillowstatic.com/fp/f5b8c1b3a5e6200518ea558ffb25da5f-p_e.jpg,471900,3.0,,-78.54477,35.997555,RECENTLY_SOLD,6495203,2289,-1,3.0,2245.0,USA,USD,acres,True
1,1682665200000,SINGLE_FAMILY,0.35,"132 W Holding Ave, Wake Forest, NC 27587",Sold 04/28/2023,RECENTLY_SOLD,373700.0,https://photos.zillowstatic.com/fp/cc3dddbd05857b4fcc7143277c19a1bb-p_e.jpg,375000,3.0,,-78.51688,35.972195,RECENTLY_SOLD,6511345,1999,-1,3.0,1815.0,USA,USD,acres,True
2,1682665200000,SINGLE_FAMILY,0.4299816345,"2809 Stirrup Ct, Wake Forest, NC 27587",Sold 04/28/2023,RECENTLY_SOLD,446000.0,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=35.937808990478516,-78.52754974365234&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=kUFLG_KiQaUORjzAgSqZalEHLtE=",382500,3.0,,-78.52755,35.93781,RECENTLY_SOLD,6565463,2294,-1,3.0,2350.0,USA,USD,acres,True
3,1682665200000,SINGLE_FAMILY,0.26,"900 Finchurch Cir, Wake Forest, NC 27587",Sold 04/28/2023,RECENTLY_SOLD,329700.0,https://photos.zillowstatic.com/fp/c16d597cdf7186ca78acf7be69baaa39-p_e.jpg,330000,3.0,,-78.504776,35.994972,RECENTLY_SOLD,50112075,1800,-1,2.0,1332.0,USA,USD,acres,True
4,1682665200000,SINGLE_FAMILY,0.92,"2812 Kimmon Way, Wake Forest, NC 27587",Sold 04/28/2023,RECENTLY_SOLD,677600.0,https://photos.zillowstatic.com/fp/bf2640f310106fbd330c1932fab05431-p_e.jpg,680000,4.0,,-78.55357,36.01907,RECENTLY_SOLD,60399270,2988,-1,3.0,2600.0,USA,USD,acres,True
5,1682665200000,SINGLE_FAMILY,8276.4,"1747 Main Divide Dr, Wake Forest, NC 27587",Sold 04/28/2023,RECENTLY_SOLD,394600.0,https://photos.zillowstatic.com/fp/4d6d3f93fef0b03234742956c1e2b066-p_e.jpg,395000,3.0,,-78.47484,35.963654,RECENTLY_SOLD,82677869,2199,-1,3.0,2206.0,USA,USD,sqft,True
6,1682665200000,SINGLE_FAMILY,0.918,"4003 Stoneway Ct, Wake Forest, NC 27587",Sold 04/28/2023,RECENTLY_SOLD,625300.0,https://photos.zillowstatic.com/fp/af7b63d8e3c2bbbd719ee1f81148a4d8-p_e.jpg,625000,4.0,,-78.557175,36.037243,RECENTLY_SOLD,93022071,2369,-1,3.0,2505.0,USA,USD,acres,True
7,1682665200000,SINGLE_FAMILY,9147.6,"4008 Heritage View Trl, Wake Forest, NC 27587",Sold 04/28/2023,RECENTLY_SOLD,573000.0,https://photos.zillowstatic.com/fp/4124ecda1c1cd715b51ebc20126b2c71-p_e.jpg,575000,4.0,,-78.49239,35.939213,RECENTLY_SOLD,103765608,2495,-1,3.0,2695.0,USA,USD,sqft,True
8,1682665200000,SINGLE_FAMILY,7405.2,"1221 Golden Star Way, Wake Forest, NC 27587",Sold 04/28/2023,RECENTLY_SOLD,567900.0,https://photos.zillowstatic.com/fp/dd448cea0200374c3a5d5dd0576c6444-p_e.jpg,569900,4.0,,-78.491486,35.940727,RECENTLY_SOLD,110606906,2400,-1,3.0,2588.0,USA,USD,sqft,True
9,1682665200000,SINGLE_FAMILY,0.44,"912 Keith Rd, Wake Forest, NC 27587",Sold 04/28/2023,RECENTLY_SOLD,1531700.0,https://photos.zillowstatic.com/fp/6aaa6fc17b179ecc38ab80a32cb205b9-p_e.jpg,1534000,5.0,,-78.60894,35.988007,RECENTLY_SOLD,133227219,5583,-1,6.0,4835.0,USA,USD,acres,True
